Title,Location,Price,Area
Apartment Singel,1016 AK Amsterdam (Grachtengordel-West),"Euro1,800 per month",52 m²
Apartment Looiersgracht 54 2 achter,1016 VT Amsterdam (Jordaan),"Euro2,100 per month",63 m²
Apartment Nassaukade,1053 LK Amsterdam (Da Costabuurt),"Euro2,200 per month",76 m²
Apartment Koopvaardersplantsoen,1034 KE Amsterdam (Banne Buiksloot),"Euro2,200 per month",97 m²
Apartment Faas Wilkesstraat 133 A,1095 MD Amsterdam (Zeeburgereiland/Nieuwe Diep),"Euro1,600 per month",87 m²
Apartment H. Gerhardstraat 120,1069 TD Amsterdam (Osdorp-Midden),"Euro1,500 per month",59 m²
Apartment Burmanstraat 29 bg-sous,1091 SH Amsterdam (Weesperzijde),"Euro3,500 per month",158 m²
Apartment Linnaeusparkweg 136 I,1098 EL Amsterdam (Middenmeer),"Euro1,500 per month",72 m²
Apartment Giessenburg 36,1082 CW Amsterdam (Buitenveldert-West),"Euro1,600 per month",87 m²
Apartment Deurloostraat,1078 HZ Amsterdam (Scheldebuurt),"Euro2,350 per month",80 m²
Apartment Westermarkt 25 2,1016 DJ Amsterdam (Grachtengordel-West),"Euro1,750 per month",60 m²
Apartment Eerste Atjehstraat,1094 KW Amsterdam (Indische Buurt West),"Euro1,600 per month",50 m²
Apartment Amstelveenseweg,1081 JD Amsterdam (Zuidas),"Euro1,850 per month",90 m²
Apartment Westlandgracht,1058 TP Amsterdam (Hoofddorppleinbuurt),"Euro1,750 per month",60 m²
Apartment Nassaukade,1053 LK Amsterdam (Da Costabuurt),"Euro1,350 per month",40 m²
Apartment Nassaukade,1053 LK Amsterdam (Da Costabuurt),"Euro1,350 per month",40 m²
Apartment Raoul Wallenbergstraat,"1102 AX Amsterdam (Bijlmer Centrum (D,F,H))","Euro1,500 per month",40 m²
Apartment Raoul Wallenbergstraat,"1102 AX Amsterdam (Bijlmer Centrum (D,F,H))","Euro1,700 per month",45 m²
Apartment Westermarkt 25 1,1016 DJ Amsterdam (Grachtengordel-West),"Euro1,650 per month",50 m²
Apartment Omval,1096 HW Amsterdam (Omval/Overamstel),"Euro2,575 per month",110 m²
Apartment Jisperveldstraat,1024 AK Amsterdam (Waterlandpleinbuurt),"Euro1,795 per month",85 m²
Apartment Tilanusstraat 320,1091 MZ Amsterdam (Oosterparkbuurt),"Euro1,750 per month",60 m²
Apartment Stadionplein 61 III,1076 CJ Amsterdam (Stadionbuurt),"Euro2,800 per month",132 m²
Apartment Van Tuyll van Serooskerkenweg 76 hs,1076 JN Amsterdam (Stadionbuurt),"Euro1,950 per month",80 m²
Apartment Transvaalstraat,1092 HN Amsterdam (Transvaalbuurt),"Euro1,400 per month",40 m²
Apartment Daniël Stalpertstraat 14,1072 XE Amsterdam (Oude Pijp),"Euro1,450 per month",40 m²
Apartment Paramaribostraat 37 hs,1058 VG Amsterdam (Westindische Buurt),"Euro2,150 per month",85 m²
Apartment Alberdingk Thijmstraat,1054 AH Amsterdam (Helmersbuurt),"Euro1,950 per month",55 m²
Apartment Orteliusstraat 234 2,1056 PH Amsterdam (Van Galenbuurt),"Euro1,400 per month",50 m²
Apartment Zeilstraat,1075 SK Amsterdam (Schinkelbuurt),"Euro1,750 per month",55 m²
Apartment Klaas Katerstraat 102,1069 RT Amsterdam (Osdorp-Midden),"Euro1,600 per month",81 m²
